Altium Designer Pick and Place Locations
D:\PCB Design\Altium\ESP32Design\Project Outputs for ESP32Design\Pick Place\Pick Place for ESP32Designv1.1(Prototype).csv

========================================================================================================================
File Design Information:

Date:       11-06-26
Time:       11:51
Revision:   9b8a1b9403f75f717a971af6ebcfafec8f589ccd
Variant:    Prototype
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"C9","100uF, 50V","TopLayer","CAPC1005X65N","890.000","800.000","180","CAP CER 0.1UF 50V X7R 0402"
"C11","100uF, 50V","TopLayer","CAPC1005X65N","529.000","677.000","0","CAP CER 0.1UF 50V X7R 0402"
"U3","TL1963A-33DCYR","TopLayer","DCY0004A_N","780.000","290.000","0","IC REG LIN 3.3V 1.5A SOT-223-4"
"U2","FT231XQ-R","TopLayer","FP-QFN-20-IPC_B","710.000","770.000","270","IC USB SERIAL FULL UART 20QFN"
"U1","ESP32-S3-MINI-1-N8","TopLayer","XCVR_ESP32-S3-MINI-1-N8","2395.030","500.000","270","20.5dBm ESP32-S3FN8 Chip 2.4GHz SMD WiFi Modules ROHS"
"SW2","Y97HT23B5EAFP","TopLayer","SWITCH_45SK43SMTR92LFS","1400.000","750.000","180","SWITCH TACTILE SPST-NO 0.05A 12V"
"SW1","Y97HT23B5EAFP","TopLayer","SWITCH_45SK43SMTR92LFS","1400.000","250.000","180","SWITCH TACTILE SPST-NO 0.05A 12V"
"R26","1k","TopLayer","RESC1005X37N","1815.000","813.008","270","RES 1K OHM 1% 1/16W 0402"
"R25","1k","TopLayer","RESC1005X37N","1815.000","187.000","90","RES 1K OHM 1% 1/16W 0402"
"R24","10k","TopLayer","RESC1005X37N","985.000","797.000","90","RES SMD 10K OHM 1% 1/16W 0402"
"R23","10k","TopLayer","RESC1005X37N","985.000","590.000","270","RES SMD 10K OHM 1% 1/16W 0402"
"R22","10k","TopLayer","RESC1005X37N","892.000","590.000","180","RES SMD 10K OHM 1% 1/16W 0402"
"R21","4k7","TopLayer","RESC1005X37N","892.000","645.000","0","RES SMD 4.7K OHM 0.1% 1/16W 0402"
"R19","5K1","TopLayer","RESC1005X37N","413.000","171.000","270","RES SMD 5.1K OHM 1% 1/16W 0402"
"R18","5K1","TopLayer","RESC1005X37N","412.000","270.000","90","RES SMD 5.1K OHM 1% 1/16W 0402"
"R17","0R","TopLayer","RESC1005X37N","610.000","598.000","90","RES 0 OHM JUMPER 1/16W 0402"
"R16","0R","TopLayer","RESC1005X37N","530.000","788.000","0","RES 0 OHM JUMPER 1/16W 0402"
"R15","0R","TopLayer","RESC1005X37N","530.000","733.000","0","RES 0 OHM JUMPER 1/16W 0402"
"R12","0R","TopLayer","RESC1005X37N","711.000","500.000","0","RES 0 OHM JUMPER 1/16W 0402"
"R9","0R","TopLayer","RESC1005X37N","1946.008","451.000","0","RES 0 OHM JUMPER 1/16W 0402"
"R8","0R","TopLayer","RESC1005X37N","1946.008","516.000","0","RES 0 OHM JUMPER 1/16W 0402"
"R7","5K1","TopLayer","RESC1005X37N","410.000","728.000","270","RES SMD 5.1K OHM 1% 1/16W 0402"
"R6","5K1","TopLayer","RESC1005X37N","410.000","831.000","90","RES SMD 5.1K OHM 1% 1/16W 0402"
"R5","27R","TopLayer","RESC1005X37N","1980.000","770.000","0","RES 27 OHM 1% 1/16W 0402"
"R4","0R","TopLayer","RESC1005X37N","2030.000","150.000","180","RES 0 OHM JUMPER 1/16W 0402"
"R3","0R","TopLayer","RESC1005X37N","2130.000","150.000","180","RES 0 OHM JUMPER 1/16W 0402"
"R2","27R","TopLayer","RESC1005X37N","1980.000","825.000","0","RES 27 OHM 1% 1/16W 0402"
"R1","10k","TopLayer","RESC1005X37N","1650.000","280.000","90","RES SMD 10K OHM 1% 1/16W 0402"
"Q2","SS8050-G","TopLayer","FP-SS8050-G-IPC_B","1095.000","770.000","0","TRANS NPN 25V 1.5A SOT-23-3"
"Q1","SS8050-G","TopLayer","FP-SS8050-G-IPC_B","1095.000","618.000","0","TRANS NPN 25V 1.5A SOT-23-3"
"LED2","RED","TopLayer","LED0402R","1750.000","815.000","270","CHIPLED(0402) SUPER RED ULTRABRI"
"LED1","GREEN","TopLayer","LED0402G","1750.000","185.000","90","LED GREEN 0402 SMD"
"J6","FTS-102-01-F-S","TopLayer","HDR_1X2_1.27MM","1350.000","500.000","90","CONN HEADER VERT 2POS 1.27MM"
"J5","FTS-103-01-F-S","TopLayer","HDR_1X3_1.27MM","375.000","500.000","0","CONN HEADER VERT 3POS 1.27MM"
"J4","217179-0001","TopLayer","FP-2171790001-MFG","165.059","229.921","270","CONN RCP USB2.0 TYP C 24P SMD RA"
"J3","217179-0001","TopLayer","FP-2171790001-MFG","165.059","779.921","270","CONN RCP USB2.0 TYP C 24P SMD RA"
"J2","0022284245","BottomLayer","HDR_1X24_2.54MM","1495.000","55.000","90","CONN HEADER VERT 24POS 2.54MM"
"J1","0022284245","BottomLayer","HDR_1X24_2.54MM","1495.000","945.000","90","CONN HEADER VERT 24POS 2.54MM"
"D6","AQ3045-01ETG","TopLayer","SOD882","340.000","185.205","90","TVS DIODE 5.3VWM 12VC SOD882"
"D5","AQ3045-01ETG","TopLayer","SOD882","340.000","259.795","270","TVS DIODE 5.3VWM 12VC SOD882"
"D4","AQ3045-01ETG","TopLayer","SOD882","349.000","381.000","0","TVS DIODE 5.3VWM 12VC SOD882"
"D3","AQ3045-01ETG","TopLayer","SOD882","338.000","737.000","90","TVS DIODE 5.3VWM 12VC SOD882"
"D2","AQ3045-01ETG","TopLayer","SOD882","339.000","823.000","270","TVS DIODE 5.3VWM 12VC SOD882"
"D1","AQ3045-01ETG","TopLayer","SOD882","349.000","619.000","0","TVS DIODE 5.3VWM 12VC SOD882"
"C17","100uF, 50V","TopLayer","CAPC1005X65N","528.000","847.000","0","CAP CER 0.1UF 50V X7R 0402"
"C16","10uF, 10V","TopLayer","CAPC1005X65N","505.000","220.000","270","CAP CER 10UF 10V X5R 0402"
"C15","10uF, 10V","TopLayer","CAPC1005X65N","565.000","220.000","270","CAP CER 10UF 10V X5R 0402"
"C14","4u7, 16V","TopLayer","CAPC1005X65N","565.000","363.000","90","CAP CER 4.7UF 16V X5R 0402"
"C13","100uF, 50V","TopLayer","CAPC1005X65N","2639.205","850.000","180","CAP CER 0.1UF 50V X7R 0402"
"C12","100uF, 50V","TopLayer","CAPC1005X65N","2629.000","127.000","0","CAP CER 0.1UF 50V X7R 0402"
"C8","100uF, 50V","TopLayer","CAPC1005X65N","745.000","615.000","180","CAP CER 0.1UF 50V X7R 0402"
"C7","4u7, 16V","TopLayer","CAPC1005X65N","745.000","560.000","180","CAP CER 4.7UF 16V X5R 0402"
"C6","100uF, 50V","TopLayer","CAPC1005X65N","445.000","382.000","180","CAP CER 0.1UF 50V X7R 0402"
"C4","1uF, 35V","TopLayer","CAPC1005X65N","1650.000","190.000","90","CAP CER 1UF 35V X5R 0402"
"C3","100uF, 50V","TopLayer","CAPC1005X65N","2456.000","851.000","0","CAP CER 0.1UF 50V X7R 0402"
"C2","10uF, 10V","TopLayer","CAPC1005X65N","2548.000","850.000","180","CAP CER 10UF 10V X5R 0402"
"C1","100uF, 50V","TopLayer","CAPC1005X65N","445.205","618.000","180","CAP CER 0.1UF 50V X7R 0402"
