Name,Description,Designator,Footprint,LibRef,Quantity
,,,,,
"1K, 1/2W",RES 1K OHM 5% 1/2W AXIAL,R3,Resistor_TH,CFR50SJT-52-1K,1
"4.7K, 1/2W",RES 4.7K OHM 5% 1/2W AXIAL,R8,Resistor_TH,CFR-50JT-52-4K7,1
10k,POT 10K OHM 1/2W CARBON LOG,POT1,Potentiometer,PTN24B-C1015DPA,1
"10R, 25W",RES CHAS MNT 10 OHM 1% 25W,R4,Braking_Resistor,KAL25FB10R0,1
22284245,CONN HEADER VERT 24POS 2.54MM,J2,Conneting_Jumpers,22284245,1
BC547A,TRANS NPN 45V 0.1A TO-92,Q6,TRANS_BC547A,BC547A,1
"0.1uF, 50V",CAP CER 0.1UF 50V X7R RADIAL,"C2, C5",Capacitor_Ceramic_TH,C320C104K5R5TA,2
"0.22uF, 50W",CAP CER 0.22UF 50V Z5U RADIAL,"C3, C6",Capacitor_Ceramic_TH,C322C224M5U5TA,2
"22uF, 50V",CAP ALUM 22UF 20% 50V RADIAL TH,"C1, C4",Capacitor_Polarized_TH,SK226M050AC3AAKPLP,2
IR2110PBF,IC GATE DRVR HALF-BRIDGE 14DIP,"GD1, GD2",IR2110PBF_DIP14,IR2110PBF,2
TB002-500-02BE,"TERMINAL BLOCK, SCREW TYPE, 5.00","J1, J3",Terminal_Block,TB002-500-02BE,2
3-1825910-5,SWITCH TACTILE SPST-NO 0.05A 24V,"SW1, SW2, SW3",Pushbutton,3-1825910-5,3
"10R, 1/2W",RES 10 OHM 5% 1/2W AXIAL,"R1, R2, R5, R6, R7",Resistor_TH,CFR-50JB-52-10R,5
IRFZ44NPBF,MOSFET N-CH 55V 49A TO220AB,"Q1, Q2, Q3, Q4, Q5",IRFZ44NPBF,IRFZ44NPBF,5
UF4007,DIODE STANDARD 1000V 1A DO204AC,"D1, D2, D3, D4, D5, D6, D7",Diode_TH,UF4007,7
