Name,Description,Designator,Footprint,LibRef,Quantity

"100uF, 50V","CAP ALUM 100UF 20% 50V RADIAL TH","C1","CAP_G3","SK107M050AG3AAKPLP","1"
"0.1uF, 25V","CAP CER 0.1UF 25V C0G/NP0 RADIAL","C2, C3","CAP_CER","C320C104J3G5TA","2"
"22uF, 50V","CAP ALUM 22UF 20% 50V RADIAL TH","C2A, C2B, C2C, C2D, C2E","CAP_C3","ESK226M050AC3FA","5"
"4.7uF, 16V","CAP ALUM 4.7UF 20% 16V RADIAL TH","C4","CAP_C3","SK475M016AC3AAKPLP","1"
"100V, 15A","DIODE STANDARD 200V 15A TO2202","D1, D2, D3","TO-220AC_ONS","MUR1520G","3"
"TC4420EPA","IC GATE DRVR LOW-SIDE 8DIP","DR1","TC4420EPA","TC4420EPA","1"
"TB003-500-P02BE","TERMINAL BLOCK, SCREW TYPE, 5.00","J1, J2","CUI_TB003-500-P02BE","TB003-500-P02BE","2"
"B2P-VH","CONN HEADER VERT 2POS 3.96MM","J3","JST_B2P-VH(LF)(SN)","B2P-VH","1"
"B66368B1020T001","BOBBIN COIL FORMER ETD 49X25X16","L1","ETD49","B66368B1020T001","1"
"B66368B1020T001","BOBBIN COIL FORMER ETD 44X22X15","L2","ETD44","B66366B1018T001","1"
"100V, 57A","MOSFET N-CH 100V 57A TO220AB","Q1","FP-PG-TO220-3-MFG","IRF3710PBF","1"
"4952","PC TEST POINT LOOP","TP1, TP2, TP3, TP4, TP5, TP6","KEYSTONE_4952","4952","6"
